,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
252,325,0.01,106,309,0.0,0,0,1405075501,1685033514988189184
253,325,0.01,78,309,0.0,0,0,1313732846,1685032493958541568
254,313,0.05,66,316,0.0,0,0,1312211261,1685032486691107328
255,325,0.01,78,301,0.0,0,0,1311516237,1685032481728657664
256,325,0.01,66,301,0.0,0,0,1267703720,1685032069945748736
257,325,0.01,78,301,0.0,0,0,1261675940,1685032021918464768
258,315,0.01,60,323,0.0,0,0,1254009418,1685031952997499392
259,325,0.01,72,309,0.0,0,0,1246688173,1685031900159620864
260,325,0.01,85,315,0.0,0,0,1236267105,1685031804991218688
261,325,0.01,85,323,0.0,0,0,1235642803,1685031801267770368
262,300,0.01,12,323,0.0,0,0,1235273338,1685031798845581312
263,325,0.01,85,315,0.0,0,0,1235259752,1685031798793278720
264,313,0.01,72,323,0.0,0,0,1234847960,1685031794681888768
265,325,0.01,85,301,0.0,0,0,1136735970,1685030748606770432
266,313,0.01,112,308,0.0,0,0,1130960311,1685030697396776448
267,325,0.01,85,301,0.0,0,0,1103488858,1685030439115820032
268,313,0.01,112,301,0.0,0,0,1055691777,1685029983080422912
269,313,0.01,72,309,0.0,0,0,1015140396,1685029577629191680
270,325,0.01,72,301,0.0,0,0,989737893,1685029327358454016
271,325,0.01,85,309,0.0,0,0,924011296,1685028712193387520
272,325,0.01,85,301,0.0,0,0,854321206,1685028109584035584
273,313,0.01,72,309,0.0,0,0,850152392,1685028081129682176
274,313,0.01,72,301,0.0,0,0,818960059,1685027819542878720
275,325,0.01,85,308,0.0,0,0,637385208,1685026224287726336
276,307,0.01,81,323,0.0,0,0,562445506,1685025550232273920
277,325,0.01,85,323,0.0,0,0,438357034,1685024445066094336
278,301,0.01,30,309,0.0,0,0,433353406,1685024408410670848
279,313,0.01,112,304,0.0,0,0,433330826,1685024408340990464
280,313,0.01,112,300,0.0,0,0,430690651,1685024389384290048
281,325,0.01,85,316,0.0,0,0,430644884,1685024389186675456
282,313,0.01,72,323,0.0,0,0,396515451,1685024091490511360
283,325,0.01,85,301,0.0,0,0,358064039,1685023762635774976
284,313,0.01,72,323,0.0,0,0,340220882,1685023613243943168
285,313,0.01,72,323,0.0,0,0,339654395,1685023611338544896
286,313,0.01,72,309,0.0,0,0,332130782,1685023555818862848
287,316,0.01,33,301,0.0,0,0,284532911,1685023201614303744
288,313,0.01,70,323,0.0,0,0,273625312,1685023114800668160
289,325,0.01,103,309,0.0,0,0,256199925,1685022988430772224
290,325,0.01,83,323,0.0,0,0,208033893,1685022642056659456
291,325,0.01,83,301,0.0,0,0,203503353,1685022599433198592
292,313,0.01,70,301,0.0,0,0,196028259,1685022556692181504
293,313,0.01,70,309,0.0,0,0,194852737,1685022552722673664
294,303,0.01,56,301,0.0,0,0,183056360,1685022480439422976
295,313,0.01,104,316,0.0,0,0,173498243,1685022423027309312
296,313,0.01,64,308,0.0,0,0,173402949,1685022422876671488
297,325,0.01,77,323,0.0,0,0,166320229,1685022381605263104
298,325,0.01,75,323,0.0,0,0,142138879,1685022230399853312
299,313,0.01,104,313,0.0,0,0,142130424,1685022230373420800
300,325,0.01,75,323,0.0,0,0,111450732,1685022034809578752
301,325,0.01,104,301,0.0,0,0,106214220,1685022005673381888
302,325,0.01,64,309,0.0,0,0,102985396,1685021986287607040
303,313,0.01,64,319,0.0,0,0,87930316,1685021901430764800
304,313,0.01,64,309,0.0,0,0,87434158,1685021899174538496
305,313,0.01,64,315,0.0,0,0,86482797,1685021894392373248
306,307,0.01,5,309,0.0,0,0,75058666,1685021821820687616
307,313,0.01,40,301,0.0,0,0,75042460,1685021821780814592
308,302,0.02,77,309,0.0,0,0,72966269,1685021810559534080
309,325,0.01,75,319,0.0,0,0,68134027,1685021785995282688
310,307,0.01,23,309,0.0,0,0,64781572,1685021768063252224
311,302,0.02,79,323,0.0,0,0,62079652,1685021751822971648
312,315,0.01,40,316,0.0,0,0,60583173,1685021744224322304
313,302,0.02,77,309,0.0,0,0,52967823,1685021704463725568
314,308,0.01,8,313,0.0,0,0,52057997,1685021700634851072
315,302,0.02,66,309,0.0,0,0,45937647,1685021664911672832
316,319,0.01,40,319,0.0,0,0,45348434,1685021660754404864
317,316,0.02,36,323,0.0,0,0,44167196,1685021652091209472
318,302,0.02,68,309,0.0,0,0,41442187,1685021634778009856
319,301,0.01,30,301,0.0,0,0,41441936,1685021634777388288
320,302,0.02,65,309,0.0,0,0,40813730,1685021630173285632
321,302,0.02,34,309,0.0,0,0,38228207,1685021610774057216
322,319,0.01,40,309,0.0,0,0,37926567,1685021608459442176
323,301,0.01,30,309,0.0,0,0,36408017,1685021600416008704
324,301,0.01,30,301,0.0,0,0,35723795,1685021595800957696
325,302,0.02,67,309,0.0,0,0,32987053,1685021579136750592
326,316,0.01,28,309,0.0,0,0,31397577,1685021567182831104
327,316,0.02,40,323,0.0,0,0,29447234,1685021556711506688
328,325,0.01,26,309,0.0,0,0,26839822,1685021538609265664
329,302,0.02,29,309,0.0,0,0,24035090,1685021522678017024
330,312,0.02,19,323,0.0,0,0,23777457,1685021521517583104
331,302,0.02,29,309,0.0,0,0,20257639,1685021501902929920
332,313,0.01,20,313,0.0,0,0,20253034,1685021501897127168
333,319,0.01,20,316,0.0,0,0,20252418,1685021501896674560
334,303,0.14,16,309,0.0,0,0,11672753,1685021453174048512
335,313,0.01,20,316,0.0,0,0,11405784,1685021451971338496
336,325,0.01,20,325,0.0,0,0,11403790,1685021451969245184
337,302,0.02,5,309,0.0,0,0,9454299,1685021442151463168
338,319,0.01,20,300,0.0,0,0,9447268,1685021442142848512
339,302,0.02,5,309,0.0,0,0,8759650,1685021439819659520
340,302,0.02,5,309,0.0,0,0,5486802,1685021422700174592
341,303,0.16,1,309,0.0,0,0,1606443,1685021404080708864
342,303,0.01,15,308,0.0,0,0,801824,1685021401606898176
343,319,0.01,20,319,0.0,0,0,471273,1685021400054488576
344,325,0.02,40,309,0.0,0,0,2111137514,1684958397677121792
345,308,0.02,58,308,0.0,0,0,2111102191,1684958397473518592
346,302,0.02,70,309,0.0,0,0,2085091686,1684958146830111488
347,301,0.01,30,301,0.0,0,0,2085089002,1684958146820002560
348,313,0.01,40,304,0.0,0,0,2085082485,1684958146812239104
349,325,0.01,40,325,0.0,0,0,2085081836,1684958146811958528
350,302,0.02,34,309,0.0,0,0,2078782869,1684958096754474240
351,325,0.01,40,301,0.0,0,0,2078777908,1684958096747859200
352,301,0.01,30,309,0.0,0,0,2076505322,1684958080224525824
353,301,0.01,30,300,0.0,0,0,2067493324,1684957990133068288
354,313,0.01,40,302,0.0,0,0,2067465244,1684957990036243200
355,325,0.01,40,325,0.0,0,0,2067455629,1684957990025607680
356,325,0.08,10,309,0.0,0,0,2065202699,1684957969894657024
357,313,0.01,40,308,0.0,0,0,2065199821,1684957969876558592
358,302,0.02,64,309,0.0,0,0,2063681657,1684957955343435264
359,302,0.02,61,323,0.0,0,0,2062854080,1684957949222370048
360,301,0.01,30,309,0.0,0,0,2047431955,1684957816209848320
361,313,0.01,40,313,0.0,0,0,2047428617,1684957816205368576
362,302,0.02,61,309,0.0,0,0,2046162886,1684957810088471040
363,301,0.01,30,304,0.0,0,0,2046157955,1684957810079063040
364,313,0.01,40,313,0.0,0,0,2044474387,1684957800207702528
365,303,0.01,55,300,0.0,0,0,2043176492,1684957791003880960
366,325,0.01,80,309,0.0,0,0,2039699241,1684957761190997760
367,325,0.01,80,301,0.0,0,0,2022129875,1684957571143444224
368,325,0.01,120,322,0.0,0,0,1991573684,1684957243553619968
369,325,0.01,80,323,0.0,0,0,1991558592,1684957243481863680
370,313,0.01,68,307,0.0,0,0,1987612643,1684957200280801792
371,325,0.01,80,309,0.0,0,0,1957029276,1684956881275393280
372,325,0.01,68,301,0.0,0,0,1952822169,1684956832414384896
373,325,0.01,80,301,0.0,0,0,1949356034,1684956808784400896
374,325,0.01,80,301,0.0,0,0,1936515706,1684956689372643072
375,325,0.01,80,301,0.0,0,0,1925374403,1684956560439570432
376,325,0.01,80,301,0.0,0,0,1903156478,1684956308504395008
