,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
2830,325,0.01,315,322,0,0,0,14762792,1684935161494348544
2831,325,0.01,345,313,0,0,0,14702569,1684935160970083072
2832,325,0.01,315,322,0,0,0,12983768,1684935141664047616
2833,325,0.01,345,313,0,0,0,11996863,1684935132428329216
2834,325,0.01,345,313,0,0,0,10073515,1684935113646948096
2835,325,0.01,345,313,0,0,0,9416719,1684935108618722560
2836,325,0.01,345,309,0,0,0,2883880,1684935036247477760
2837,325,0.01,345,313,0,0,0,2548510,1684935031424854272
2838,325,0.01,345,302,0,0,0,2272080,1684935026696960000
2839,325,0.01,250,322,0,0,0,584192,1684935008353220352
2840,319,0.02,30,319,0,0,0,32943,1684935000061218816
2841,325,0.01,372,300,0,0,0,650180589,1684871964098595584
2842,325,0.01,347,309,0,0,0,646400922,1684871741044948224
2843,325,0.01,446,309,0,0,0,644553281,1684871675756240128
2844,325,0.01,406,309,0,0,0,642635478,1684871588136149504
2845,325,0.01,446,301,0,0,0,641386173,1684871528570312448
2846,325,0.01,415,309,0,0,0,641298483,1684871526362405888
2847,325,0.01,446,312,0,0,0,641132689,1684871520632100352
2848,325,0.01,406,309,0,0,0,639025822,1684871446266092032
2849,325,0.01,347,309,0,0,0,638225288,1684871408719054848
2850,325,0.01,316,301,0,0,0,638212012,1684871408593235456
2851,325,0.01,347,323,0,0,0,634795315,1684871193681116672
2852,325,0.01,406,309,0,0,0,632184745,1684871027487310336
2853,325,0.01,347,309,0,0,0,625480423,1684870573614728192
2854,325,0.01,347,316,0,0,0,619901519,1684870236803357952
2855,325,0.01,316,300,0,0,0,618346077,1684870168885266432
2856,325,0.01,347,309,0,0,0,617176732,1684870105398138112
2857,325,0.01,347,303,0,0,0,616765209,1684870089732823552
2858,325,0.01,406,309,0,0,0,611575422,1684869830870522624
2859,325,0.01,347,303,0,0,0,605933208,1684869592552674304
2860,325,0.01,406,313,0,0,0,603361454,1684869510940204800
2861,325,0.01,406,308,0,0,0,601557039,1684869453149536256
2862,325,0.01,347,301,0,0,0,600857298,1684869418573378048
2863,313,0.01,326,315,0,0,0,600846910,1684869418545947904
2864,325,0.01,347,300,0,0,0,599292846,1684869351343161088
2865,325,0.01,316,323,0,0,0,599273784,1684869351247648768
2866,325,0.01,347,309,0,0,0,598851335,1684869326010958336
2867,325,0.01,347,313,0,0,0,598761084,1684869323978438912
2868,325,0.01,375,300,0,0,0,598537198,1684869313482310912
2869,325,0.01,347,319,0,0,0,596265796,1684869191822426112
2870,325,0.01,347,308,0,0,0,592045354,1684868972918692864
2871,325,0.01,347,312,0,0,0,591553084,1684868948595035392
2872,325,0.01,316,300,0,0,0,590046796,1684868883985509120
2873,325,0.01,406,309,0,0,0,588506329,1684868827545225472
2874,325,0.01,378,313,0,0,0,574231416,1684867998065267712
2875,325,0.01,316,315,0,0,0,574212364,1684867997974360576
2876,325,0.01,375,313,0,0,0,571218082,1684867828769430016
2877,325,0.01,378,301,0,0,0,563077191,1684867410748013312
2878,325,0.01,477,309,0,0,0,562023075,1684867371138340096
2879,325,0.01,437,301,0,0,0,557572151,1684867146536192512
2880,325,0.01,415,313,0,0,0,557066010,1684867132283602944
2881,325,0.01,375,323,0,0,0,557042702,1684867132147564544
2882,325,0.01,378,309,0,0,0,556131805,1684867102300423936
2883,325,0.01,378,309,0,0,0,554485163,1684867033882979328
2884,325,0.01,415,301,0,0,0,553711919,1684867008945198848
2885,325,0.01,378,309,0,0,0,548475844,1684866722758769408
2886,325,0.01,316,315,0,0,0,548448974,1684866722571007232
2887,325,0.01,316,300,0,0,0,546161761,1684866628061995520
2888,325,0.01,437,300,0,0,0,543716492,1684866537045533184
2889,325,0.01,378,313,0,0,0,543638149,1684866536120210944
2890,325,0.01,378,322,0,0,0,543609576,1684866535950502656
2891,325,0.01,378,309,0,0,0,541553466,1684866424914298112
2892,325,0.01,316,323,0,0,0,541535726,1684866424806817280
2893,325,0.01,437,301,0,0,0,540026151,1684866376003926016
2894,325,0.01,250,316,0,0,0,539550669,1684866366847092480
2895,325,0.01,477,323,0,0,0,539005830,1684866348256080384
2896,325,0.01,437,308,0,0,0,534487943,1684866211628801280
2897,325,0.01,378,309,0,0,0,534058344,1684866201527009536
2898,325,0.01,477,323,0,0,0,532998490,1684866185654230528
2899,325,0.01,316,313,0,0,0,532825266,1684866184729895424
2900,313,0.01,382,315,0,0,0,532522126,1684866181180833280
2901,325,0.01,378,313,0,0,0,524467520,1684865847625239808
2902,325,0.01,437,313,0,0,0,520255708,1684865673174829824
2903,325,0.01,477,309,0,0,0,516462172,1684865495656647680
2904,325,0.01,412,301,0,0,0,512851802,1684865351860902656
2905,325,0.01,435,301,0,0,0,512791507,1684865351320982272
2906,325,0.01,435,323,0,0,0,512522984,1684865343216284416
2907,325,0.01,435,309,0,0,0,508970725,1684865170391218176
2908,325,0.01,316,319,0,0,0,508944702,1684865170212211712
2909,325,0.01,435,313,0,0,0,501829681,1684864867207912192
2910,325,0.01,435,313,0,0,0,500250826,1684864815683467520
2911,325,0.01,378,309,0,0,0,495522602,1684864547519108864
2912,325,0.01,316,315,0,0,0,495502707,1684864547420464128
2913,313,0.01,351,315,0,0,0,492214488,1684864389368642048
2914,325,0.01,347,323,0,0,0,486233973,1684864184658386944
2915,325,0.01,316,315,0,0,0,486203397,1684864184448251904
2916,325,0.01,347,302,0,0,0,479873053,1684863875696682240
2917,325,0.01,347,303,0,0,0,477717298,1684863768345431296
2918,325,0.01,316,316,0,0,0,476307722,1684863711077489152
2919,325,0.01,347,313,0,0,0,462625138,1684863110836683264
2920,325,0.01,347,309,0,0,0,460062837,1684863037726445312
2921,325,0.01,373,312,0,0,0,459868008,1684863034901326592
2922,325,0.01,404,309,0,0,0,459569047,1684863026562657536
2923,325,0.01,347,312,0,0,0,457992110,1684863000467799040
2924,325,0.01,347,313,0,0,0,457389440,1684862987427249152
2925,325,0.01,404,302,0,0,0,455364977,1684862927180033024
2926,325,0.01,404,301,0,0,0,455251554,1684862922120354816
2927,325,0.01,347,303,0,0,0,454558681,1684862895944194048
2928,325,0.01,404,301,0,0,0,432520268,1684861866078009088
2929,325,0.01,347,309,0,0,0,431031581,1684861805813115136
2930,325,0.01,347,301,0,0,0,430314683,1684861771805007104
2931,325,0.01,347,309,0,0,0,425294331,1684861628653540608
2932,325,0.01,316,309,0,0,0,417719328,1684861316712353280
2933,325,0.01,378,313,0,0,0,417669446,1684861315125119488
2934,325,0.01,378,309,0,0,0,417283552,1684861300784887040
2935,325,0.01,316,301,0,0,0,416670421,1684861271218696448
2936,325,0.01,316,309,0,0,0,416515473,1684861263350739968
2937,325,0.01,316,322,0,0,0,416165953,1684861245992432896
2938,325,0.01,378,309,0,0,0,416005627,1684861237520553216
2939,325,0.01,378,309,0,0,0,415758863,1684861231250675712
2940,325,0.01,316,319,0,0,0,415688521,1684861228222686976
2941,325,0.01,378,323,0,0,0,415171816,1684861213880203008
2942,325,0.01,316,309,0,0,0,414960958,1684861207815371520
2943,325,0.01,378,301,0,0,0,414854618,1684861205812664576
2944,325,0.01,316,301,0,0,0,414535051,1684861195626139392
2945,325,0.01,378,312,0,0,0,414129518,1684861170900643840
2946,325,0.01,316,322,0,0,0,414023362,1684861168596470528
2947,325,0.01,378,303,0,0,0,413766226,1684861153466793984
2948,325,0.01,316,309,0,0,0,405823949,1684860810706430976
2949,325,0.01,316,301,0,0,0,405783725,1684860809414310912
2950,325,0.01,417,301,0,0,0,405612510,1684860796998585344
2951,325,0.01,316,309,0,0,0,404471079,1684860744881830912
2952,325,0.01,355,302,0,0,0,403218724,1684860711584901632
2953,325,0.01,378,313,0,0,0,403153280,1684860708515173888
2954,325,0.01,474,301,0,0,0,402801537,1684860699528897792
2955,325,0.01,316,323,0,0,0,402653558,1684860694234965248
2956,325,0.01,378,301,0,0,0,402294275,1684860683757498112
2957,325,0.01,378,304,0,0,0,401535067,1684860666611637760
2958,325,0.01,378,309,0,0,0,401345078,1684860662480700416
2959,325,0.01,435,309,0,0,0,400923358,1684860655902684416
2960,325,0.01,378,309,0,0,0,400808067,1684860654107552000
2961,325,0.01,412,301,0,0,0,400626423,1684860650830473216
2962,325,0.01,378,316,0,0,0,400415421,1684860648849238016
2963,325,0.01,373,300,0,0,0,400295835,1684860647937683712
